name,artist,release_date,length,popularity
Die For You,Various Artists,2023-06-23,260255,0
Sacrifice,Various Artists,2023-06-23,188918,1
I Feel It Coming,Various Artists,2023-06-23,269186,11
Die For You,Various Artists,2023-06-23,260255,1
Starboy,Various Artists,2023-06-22,230461,3
Un Cigarrillo,Chencho Corleone,2023-05-04,184266,85
Big Dawg (feat. Chief Wuk),Lil Durk,2023-05-26,160975,75
Devil Don’t Know,Morgan Wallen,2023-03-03,205182,74
ROSA PASTEL,Peso Pluma,2023-06-22,204253,73
LA PEOPLE,Peso Pluma,2023-06-22,153031,74
Le Va Doler,Grupo Frontera,2023-05-25,153645,82
Love You Anyway,Luke Combs,2023-03-24,229626,76
EVIL,Melanie Martinez,2023-03-31,246294,79
77,Peso Pluma,2023-06-22,215745,73
bottom,Gunna,2023-06-16,177346,75
Watch The World Burn,Falling In Reverse,2023-01-31,203948,80
B12,Lil Durk,2023-05-26,163085,75
Embarrassed (feat. Travis Scott),Don Toliver,2023-02-28,192693,79
Single Than She Was,Morgan Wallen,2023-03-03,160347,74
Good Girl Gone Missin’,Morgan Wallen,2023-03-03,175031,74
Me + All Your Reasons,Morgan Wallen,2023-03-03,174741,74
CAREFUL,NF,2023-04-07,209500,77
labour,Paris Paloma,2023-03-23,237744,80
"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",Young Thug,2023-06-23,226413,75
Hope That’s True,Morgan Wallen,2023-03-03,186465,74
180 (Lifestyle),Morgan Wallen,2023-03-03,189157,74
That Part,Lauren Spencer Smith,2023-05-25,174052,81
MVP (feat. G-Eazy),A Boogie Wit da Hoodie,2023-05-12,173948,77
MAÑANA SERÁ BONITO,KAROL G,2023-02-24,210986,81
Keep It Low (feat. Future),Moneybagg Yo,2023-06-02,142451,75
p angels,Gunna,2023-06-16,176160,74
VAGABUNDO,Sebastian Yatra,2023-05-12,215600,90
BYE,Peso Pluma,2023-06-22,212976,72
Florida Water (feat. Luh Tyler),Danny Towers,2023-02-10,223708,74
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,2023-06-23,244684,76
Tennessee Numbers,Morgan Wallen,2023-03-03,225127,74
Wish You The Best,Lewis Capaldi,2023-05-19,210880,85
Lucky,Elle King,2023-01-27,194426,74
Me To Me,Morgan Wallen,2023-03-03,138958,74
Pound Town 2 (feat. Nicki Minaj & Tay Keith),Sexyy Red,2023-05-26,194047,75
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,2023-06-05,180933,86
Drive You Out Of My Mind,Kassi Ashton,2023-02-24,212360,73
Creek Will Rise,Conner Smith,2023-02-24,169293,74
Nas Morales (Metro Boomin & Nas),Metro Boomin,2023-06-02,167093,79
5 Leaf Clover,Luke Combs,2023-03-24,211053,75
World on Fire,Nate Smith,2023-04-28,189986,75
In The Bible (feat. HARDY),Morgan Wallen,2023-03-03,195326,73
Where the Wild Things Are,Luke Combs,2023-03-24,239533,76
NARCISSISTIC PERSONALITY DISORDER,Odetari,2023-04-01,110510,79
The Planet,BTS,2023-05-12,178156,88
Shoong! (feat. LISA of BLACKPINK),TAEYANG,2023-04-25,205101,80
Something's Gonna Kill Me,Corey Kent,2023-04-14,183680,73
Rodeo (Remix),Lah Pat,2023-02-24,245959,79
"Sex, Drugs, Etc.",Beach Weather,2023-03-03,196784,82
Outlook,Morgan Wallen,2023-03-03,193712,73
Drinkaby,Cole Swindell,2023-01-27,182893,73
Cars Bring Me Out (feat. Future),Young Thug,2023-06-23,202933,75
TRIP TO THE HOOD,Lil Mabu,2023-02-24,106703,76
Spicy,aespa,2023-05-08,197040,85
Never Ending Song,Conan Gray,2023-05-19,155202,80
Never Again,Lil Durk,2023-05-26,139840,74
DEMBOW BÉLICO,Tito Double P,2023-06-03,126522,85
On The Radar Freestyle,Lil Mabu,2023-01-20,99000,76
Blindsided,Kelsea Ballerini,2023-02-14,170906,73
The View Between Villages - Extended,Noah Kahan,2023-06-09,292903,74
A Lesser Man,The Weeknd,2023-06-19,298616,74
Bluffin (feat. Lil Baby),Gucci Mane,2023-06-16,148302,77
300 Urus,Lil Durk,2023-05-26,204642,73
Keith Whitley,Morgan Wallen,2023-03-03,187518,73
LEFT RIGHT,XG,2023-01-25,208065,80
on the street (with J. Cole),j-hope,2023-03-03,214701,83
Peppers (feat. Tommy Genesis),Lana Del Rey,2023-03-24,248928,81
Put Em On Ice,Lil Durk,2023-05-26,123200,74
SABOR FRESA,Fuerza Regida,2023-06-22,156500,80
Unholy (feat. Kim Petras),Sam Smith,2023-01-27,156943,85
Same Side (feat. Rob49),Lil Durk,2023-05-26,153740,73
Tennessee Fan,Morgan Wallen,2023-03-03,198255,73
5 Foot 9,Tyler Hubbard,2023-01-27,189773,73
Alone (with Nicki Minaj),Kim Petras,2023-04-21,185113,81
Before Fajr,Lil Durk,2023-05-26,120128,73
Home To Another One,Madison Beer,2023-06-02,149108,78
Hellcat Kenny (feat. Lil Uzi Vert),Young Thug,2023-06-23,154466,73
La Bachata,Manuel Turizo,2023-03-17,162637,88
Want Me Dead (feat. 21 Savage),Young Thug,2023-06-23,194706,74
idk nomore,Gunna,2023-06-16,179480,74
Mountain With A View,Kelsea Ballerini,2023-02-14,177920,73
MI EXXX,Wisin,2023-04-20,194470,82
Primera Cita,Carin Leon,2023-04-20,186455,85
Sugar Rush Ride,TOMORROW X TOGETHER,2023-01-27,186570,83
The Summoning,Sleep Token,2023-05-19,395716,76
REMIX EXCLUSIVO,Feid,2023-03-17,206946,86
Last Drive Down Main,Morgan Wallen,2023-03-03,193163,73
You Got Em,Lil Durk,2023-05-26,142546,73
"Six Lines, Two Dragons, and a Messiah",$uicideboy$,2023-02-24,166420,74
F150-50,Morgan Wallen,2023-03-03,191634,73
Family (with Suzanna Son),The Weeknd,2023-06-12,183884,71
Leave Her,LUCKI,2023-04-27,137026,73
Glue Song (feat. Clairo),beabadoobee,2023-04-17,135066,78
Standing Room Only,Tim McGraw,2023-03-10,226090,73
But I Got A Beer In My Hand,Luke Bryan,2023-05-05,176426,74
A&W,Lana Del Rey,2023-03-24,433916,81
Money On The Dresser,Young Thug,2023-06-23,133000,73
Cut U Off,Joyner Lucas,2023-06-09,204387,75
Different 'Round Here,Riley Green,2023-05-11,174992,73
go crazy,Gunna,2023-06-16,173360,73
Tattoo,Loreen,2023-02-25,183374,94
TUYA,ROSALÍA,2023-06-08,154551,86
Sad Songs,Lil Durk,2023-05-26,156262,73
bread & butter,Gunna,2023-06-16,226000,73
paybach,Gunna,2023-06-16,173533,73
HOPE,NF,2023-02-16,264473,78
I Know,Kanii,2023-03-10,152593,76
Rover,KAI,2023-03-13,174506,84
Off The Court (with Polo G & Einer Bankz),SleazyWorld Go,2023-05-05,193937,74
